update,step,steps_per_sec,rollout_sec,learn_sec,episodes,mean_x_pos,flag_rate,mean_coins,mean_game_reward,stall_rate,policy_loss,value_loss,entropy,approx_kl,clipfrac,explained_variance,wall_time
1,3072,540.7,3.6,2.08,28,355.64285714285717,0.0,0.17857142857142858,286.42857142857144,0.03571428571428571,-0.00961,3.82393,1.93865,0.00782,0.10824,0.01005,5.7
2,6144,533.0,3.77,2.0,39,463.4102564102564,0.0,0.23076923076923078,389.87179487179486,0.05128205128205128,-0.00714,6.68688,1.91607,0.00761,0.09326,0.34978,11.4
3,9216,546.1,3.69,1.94,29,464.17241379310343,0.0,0.3793103448275862,392.7931034482759,0.0,-0.00535,6.90332,1.87877,0.00448,0.04077,0.53465,17.1
4,12288,545.0,3.63,2.0,33,570.2424242424242,0.0,0.6666666666666666,490.1818181818182,0.09090909090909091,-0.00259,8.05787,1.82075,0.00766,0.11556,0.61891,22.7
5,15360,547.9,3.61,2.0,39,501.56410256410254,0.0,0.2564102564102564,430.3333333333333,0.0,-0.00486,8.78481,1.80552,0.00997,0.14673,0.50456,28.3
6,18432,510.5,3.96,2.06,44,505.75,0.0,0.38636363636363635,434.77272727272725,0.0,-0.00202,8.45914,1.74965,0.00663,0.05371,0.54997,34.3
7,21504,532.2,3.75,2.03,39,526.6153846153846,0.0,0.23076923076923078,454.71794871794873,0.0,-0.00234,8.96984,1.6894,0.00767,0.06779,0.67194,40.1
8,24576,527.8,3.81,2.01,41,579.8048780487804,0.0,0.3902439024390244,506.3658536585366,0.0,-0.00235,11.98145,1.66421,0.00572,0.0638,0.6111,45.9
9,27648,527.8,3.82,2.0,45,548.4222222222222,0.0,0.35555555555555557,477.53333333333336,0.0,0.00014,11.08069,1.50686,0.00361,0.0144,0.64351,51.8
10,30720,500.6,3.95,2.18,39,541.6410256410256,0.0,0.5641025641025641,470.5897435897436,0.0,-0.00306,12.30343,1.54709,0.0047,0.05298,0.59733,57.9
11,33792,465.8,4.47,2.13,43,574.8604651162791,0.0,0.6511627906976745,503.51162790697674,0.0,-0.0018,13.9784,1.48085,0.00488,0.06437,0.56032,64.5
12,36864,475.9,4.48,1.98,50,536.96,0.0,0.3,467.06,0.0,-0.00056,13.2847,1.4834,0.00537,0.06982,0.60475,70.9
13,39936,459.3,4.49,2.2,45,531.6666666666666,0.0,0.5777777777777777,461.35555555555555,0.0,-0.00308,13.06788,1.40057,0.00359,0.03866,0.65955,77.6
14,43008,465.0,4.35,2.26,42,504.2857142857143,0.0,0.30952380952380953,434.1666666666667,0.0,-0.00283,10.46662,1.36235,0.00365,0.04688,0.66472,84.2
15,46080,462.9,4.44,2.2,43,496.8139534883721,0.0,0.32558139534883723,425.8139534883721,0.023255813953488372,-0.0025,10.13897,1.36943,0.00539,0.07666,0.69587,90.9
16,49152,432.9,4.64,2.46,49,525.2244897959183,0.0,0.2857142857142857,453.9183673469388,0.02040816326530612,-0.00253,12.14518,1.27597,0.00415,0.03947,0.63011,98.0
17,52224,457.2,4.53,2.19,49,494.48979591836735,0.0,0.2653061224489796,426.44897959183675,0.0,0.00167,10.8554,1.34152,0.00566,0.07463,0.69998,104.7
18,55296,469.7,4.35,2.19,42,571.0238095238095,0.0,0.47619047619047616,499.4761904761905,0.023809523809523808,-0.00214,11.12765,1.28767,0.00686,0.0765,0.76821,111.2
19,58368,464.0,4.45,2.17,47,552.0212765957447,0.0,0.46808510638297873,481.48936170212767,0.0,-0.00122,11.93346,1.31875,0.00277,0.03174,0.64547,117.9
20,61440,482.2,4.24,2.13,41,507.1951219512195,0.0,0.21951219512195122,437.9756097560976,0.0,0.00014,9.21151,1.34436,0.00531,0.06746,0.75897,124.2
21,64512,462.3,4.42,2.22,45,558.6222222222223,0.0,0.4888888888888889,487.15555555555557,0.0,-0.00014,16.45087,1.31817,0.00762,0.1106,0.62764,130.9
22,67584,482.5,4.31,2.05,44,590.1590909090909,0.0,0.6590909090909091,518.5454545454545,0.0,-0.0019,10.5465,1.37979,0.00817,0.09163,0.64225,137.3
23,70656,513.5,3.99,2.0,50,499.52,0.0,0.44,430.32,0.0,-0.00181,12.43081,1.36094,0.00408,0.04256,0.65899,143.2
24,73728,499.3,4.09,2.06,53,509.3207547169811,0.0,0.5283018867924528,440.9622641509434,0.0,-0.00061,13.09854,1.38672,0.0038,0.04256,0.6259,149.4
25,76800,513.1,3.94,2.05,55,480.09090909090907,0.0,0.38181818181818183,411.43636363636364,0.0,-0.0036,15.6144,1.29532,0.00801,0.09237,0.66052,155.4
26,79872,519.8,3.93,1.98,54,474.1111111111111,0.0,0.5185185185185185,406.5740740740741,0.0,-0.00201,7.42367,1.27912,0.00506,0.07658,0.75235,161.3
27,82944,514.0,3.89,2.08,47,527.4042553191489,0.0,0.40425531914893614,457.4255319148936,0.0,-0.00106,14.11959,1.27492,0.00425,0.04736,0.66331,167.3
28,86016,493.0,3.88,2.35,46,518.5652173913044,0.0,0.2608695652173913,449.19565217391306,0.0,-0.002,14.05274,1.30443,0.0042,0.05835,0.57623,173.5
29,89088,546.6,3.66,1.96,41,618.7560975609756,0.0,0.5365853658536586,545.0487804878048,0.0,-0.00228,13.65182,1.2822,0.00347,0.02775,0.56664,179.1
30,92160,520.0,3.91,2.0,54,455.6296296296296,0.0,0.25925925925925924,387.22222222222223,0.0,-0.0012,12.22499,1.31341,0.00599,0.06177,0.59507,185.0
31,95232,542.6,3.64,2.02,36,566.6944444444445,0.0,0.3611111111111111,494.02777777777777,0.0,-0.00274,9.25089,1.34823,0.00606,0.05485,0.68438,190.7
32,98304,543.9,3.65,1.99,41,602.5853658536586,0.0,0.6097560975609756,529.6829268292682,0.0,-0.00141,11.49158,1.40223,0.00728,0.09098,0.72543,196.3
33,101376,540.8,3.72,1.96,41,579.6341463414634,0.0,0.5121951219512195,508.6341463414634,0.0,-0.00171,9.38523,1.38338,0.00416,0.04924,0.74186,202.0
34,104448,529.4,3.82,1.98,46,529.6086956521739,0.0,0.2826086956521739,459.5,0.0,-0.00083,10.61116,1.47262,0.00662,0.08032,0.57868,207.9
35,107520,548.2,3.65,1.95,32,713.21875,0.0,0.71875,637.8125,0.0,-0.00125,11.66039,1.46973,0.00486,0.04997,0.73458,213.5
36,110592,502.3,3.81,2.31,44,523.3409090909091,0.0,0.4772727272727273,451.5681818181818,0.0,-0.00313,8.68278,1.43038,0.00858,0.06828,0.74131,219.6
37,113664,535.7,3.74,1.99,45,504.06666666666666,0.0,0.7333333333333333,433.97777777777776,0.0,-0.00132,11.18943,1.46875,0.00697,0.05485,0.73748,225.4
38,116736,536.3,3.73,1.99,52,579.5384615384615,0.0,0.5384615384615384,509.21153846153845,0.0,-0.00267,10.69415,1.44714,0.007,0.09652,0.74302,231.1
39,119808,542.3,3.69,1.98,40,580.225,0.0,0.625,510.25,0.0,0.00027,11.15425,1.41833,0.00619,0.0804,0.76109,236.8
40,122880,530.7,3.83,1.96,45,531.1111111111111,0.0,0.4222222222222222,460.73333333333335,0.022222222222222223,-0.0035,6.95349,1.43495,0.00729,0.08382,0.81813,242.5
41,125952,522.0,3.86,2.02,56,435.9642857142857,0.0,0.25,367.98214285714283,0.0,5e-05,12.22631,1.39046,0.00545,0.07357,0.5638,248.4
42,129024,516.0,3.93,2.02,56,458.67857142857144,0.0,0.21428571428571427,391.05357142857144,0.0,-0.00102,11.01532,1.38545,0.00333,0.03215,0.593,254.4
43,132096,525.4,3.85,2.0,55,530.9272727272727,0.0,0.43636363636363634,461.4727272727273,0.0,-0.00235,10.47961,1.4693,0.00565,0.05566,0.57485,260.2
44,135168,539.3,3.72,1.98,50,493.38,0.0,0.2,425.22,0.0,-0.00395,8.94263,1.50155,0.00556,0.06299,0.59261,265.9
45,138240,518.9,3.94,1.98,50,509.4,0.0,0.4,440.06,0.0,-3e-05,8.76326,1.45503,0.00336,0.01107,0.70732,271.9
46,141312,544.2,3.62,2.02,44,550.75,0.0,0.3181818181818182,479.47727272727275,0.0,-0.00407,10.02897,1.41344,0.00583,0.07471,0.66414,277.5
47,144384,530.7,3.74,2.05,38,601.9473684210526,0.0,0.631578947368421,530.6052631578947,0.0,0.00047,7.62492,1.4131,0.0031,0.01855,0.76914,283.3
